anchor,positive
A regular language L is accepted by a non-deterministic finite automaton (NFA) with n states. Which of the following statement(s) is/are FALSE?,CS - Theory of Computation: Finite Automata - NFA to DFA Conversion and State Complexity
"Suppose in a multiprogramming environment, the following C program segment is executed. A process goes into I/O queue whenever an I/O related operation is performed. Assume that there will always be a context switch whenever a process requests for an I/O, and also whenever the process returns from an I/O. The number of times the process will enter the ready queue during its lifetime (not counting the time the process enters the ready queue when it is run initially) is ____. (Answer in integer)
int main()
{
    int x=0,i=0;
    scanf(""%d"",&x);
    for(i=0; i<20; i++)
    {
        x = x+20;
        printf(""%d\n"",x);
    }
    return 0;
}",CS - Operating Systems: Process Management - Process States and I/O
"Let S be the set of all ternary strings defined over the alphabet {a, b, c}. Consider all strings in S that contain at least one occurrence of two consecutive symbols, that is, “aa”, “bb” or “cc”. The number of such strings of length 5 that are possible is _____. (Answer in integer)",CS - Engineering Mathematics: Discrete Mathematics - Combinatorics (Complementary Counting)
"Consider the given function f(x).
f(x) = { ax + b for x < 1; x³ + x² + 1 for x ≥ 1 }
If the function is differentiable everywhere, the value of b must be ______. (rounded off to one decimal place)",CS - Engineering Mathematics: Calculus - Continuity and Differentiability
"A box contains 5 coins: 4 regular coins and 1 fake coin. When a regular coin is tossed, the probability P(head) = 0.5 and for a fake coin, P(head) = 1. You pick a coin at random and toss it twice, and get two heads. The probability that the coin you have chosen is the fake coin is ______. (rounded off to two decimal places)",CS - Engineering Mathematics: Probability - Bayes' Theorem
"The pseudocode of a function fun() is given below:
fun(int A[0,...,n-1]){
  for i=0 to n-2
    for j=0 to n-i-2
      if (A[j]>A[j+1])
        then swap A[j] and A[j+1]
}
Let A[0, ...,29] be an array storing 30 distinct integers in descending order. The number of swap operations that will be performed, if the function fun() is called with A[0, ...,29] as argument, is ______. (Answer in integer)",CS - Algorithms: Sorting Algorithms - Bubble Sort Analysis
"The output of the given C program is ______. (Answer in integer)
#include <stdio.h>
void foo(int *p, int x){
    *p=x;
}
int main(){
    int *z;
    int a = 20, b = 25;
    z = &a;
    foo(z,b);
    printf(""%d"",a);
    return 0;
}",CS - Programming and Data Structures: Programming in C - Pointers and Call by Reference
"The height of any rooted tree is defined as the maximum number of edges in the path from the root node to any leaf node.
Suppose a Min-Heap T stores 32 keys. The height of T is ______. (Answer in integer)",CS - Programming and Data Structures: Trees and Heaps - Heap Properties
"Consider a memory system with 1M bytes of main memory and 16K bytes of cache memory. Assume that the processor generates 20-bit memory address, and the cache block size is 16 bytes. If the cache uses direct mapping, how many bits will be required to store all the tag values? [Assume memory is byte addressable, 1K=2¹⁰, 1M=2²⁰.]",CS - Computer Organization and Architecture: Memory Hierarchy - Direct Mapped Cache
"A processor has 64 general-purpose registers and 50 distinct instruction types. An instruction is encoded in 32-bits. What is the maximum number of bits that can be used to store the immediate operand for the given instruction?
ADD R1, #25 // R1 = R1 + 25",CS - Computer Organization and Architecture: Instruction Set Architecture - Instruction Format Design
"A computer has two processors, M₁ and M₂. Four processes P₁, P₂, P₃, P₄ with CPU bursts of 20, 16, 25, and 10 milliseconds, respectively, arrive at the same time and these are the only processes in the system. The scheduler uses non-preemptive priority scheduling, with priorities decided as follows:
• M₁ uses priority of execution for the processes as, P₁ > P₃ > P₂ > P₄, i.e., P₁ and P₄ have highest and lowest priorities, respectively.
• M₂ uses priority of execution for the processes as, P₂ > P₃ > P₄ > P₁, i.e., P₂ and P₁ have highest and lowest priorities, respectively.
A process Pᵢ is scheduled to a processor Mₖ, if the processor is free and no other process Pⱼ is waiting with higher priority. At any given point of time, a process can be allocated to any one of the free processors without violating the execution priority rules. Ignore the context switch time. What will be the average waiting time of the processes in milliseconds?",CS - Operating Systems: CPU Scheduling - Priority Scheduling (Multiprocessor)
"Consider two relations describing teams and players in a sports league:
• teams(tid, tname): tid, tname are team-id and team-name, respectively
• players(pid, pname, tid): pid, pname, and tid denote player-id, player-name and the team-id of the player, respectively
Which ONE of the following tuple relational calculus queries returns the name of the players who play for the team having tname as 'MI'?",CS - Databases: Relational Model - Tuple Relational Calculus
"A packet with the destination IP address 145.36.109.70 arrives at a router whose routing table is shown. Which interface will the packet be forwarded to?
[Routing Table: 145.36.0.0/16 -> E1, 145.36.128.0/17 -> E2, 145.36.64.0/18 -> E3, 145.36.255.0/24 -> E4, Default -> E5]",CS - Computer Networks: Network Layer - Longest Prefix Match
"Let A be a 2x2 matrix as given. A = [[1, 1], [1, -1]]. What are the eigenvalues of the matrix A¹³?",CS - Engineering Mathematics: Linear Algebra - Eigenvalues of Matrix Powers
"Consider the following four variable Boolean function in sum-of-product form F(b₃, b₂, b₁, b₀) = Σ(0, 2, 4, 8, 10, 11, 12). where the value of the function is computed by considering b₃b₂b₁b₀ as a 4-bit binary number, where b₃ denotes the most significant bit and b₀ denotes the least significant bit. Note that there are no don't care terms. Which ONE of the following options is the CORRECT minimized Boolean expression for F?",CS - Digital Logic: Boolean Algebra - K-Maps (Karnaugh Maps)
"Let G(V, E) be an undirected and unweighted graph with 100 vertices. Let d(u, v) denote the number of edges in a shortest path between vertices u and v in V. Let the maximum value of d(u, v), u, v ∈ V such that u ≠ v, be 30. Let T be any breadth-first-search tree of G. Which ONE of the given options is CORRECT for every such graph G?","CS - Algorithms: Graph Algorithms - BFS, Shortest Paths, and Graph Diameter"
"Consider the following two languages over the alphabet {a, b}:
L₁ = {αβα | α ∈ {a,b}⁺ AND β ∈ {a,b}⁺ }
L₂ = {αβα | α ∈ {a}⁺ AND β ∈ {a,b}⁺ }
Which ONE of the following statements is CORRECT?",CS - Theory of Computation: Formal Languages - Regular Languages and Pumping Lemma
"Consider the following two languages over the alphabet {a, b, c}, where m and n are natural numbers.
L₁ = {aᵐbᵐcᵐ⁺ⁿ | m, n ≥ 1}
L₂ = {aᵐbⁿcᵐ⁺ⁿ | m, n ≥ 1}
Which ONE of the following statements is CORRECT?",CS - Theory of Computation: Context-Free Languages - Pumping Lemma for CFLs
Which of the following statement(s) is/are TRUE while computing First and Follow during top down parsing by a compiler?,CS - Compiler Design: Syntax Analysis - FIRST and FOLLOW Sets
"Consider a relational schema team(name, city, owner), with functional dependencies {name → city, name → owner}.
The relation team is decomposed into two relations, t1(name, city) and t2(name, owner). Which of the following statement(s) is/are TRUE?",CS - Databases: Relational Database Design - Normalization and Decomposition Properties
"Which of the following predicate logic formulae/formula is/are CORRECT representation(s) of the statement: “Everyone has exactly one mother”?
The meanings of the predicates used are:
• mother(y, x): y is the mother of x
• noteq(x, y): x and y are not equal",CS - Engineering Mathematics: Discrete Mathematics - Predicate Logic
"A = {0, 1, 2, 3, ... } is the set of non-negative integers. Let F be the set of functions from A to itself. For any two functions, f₁, f₂ ∈ F, we define (f₁ O f₂)(n) = f₁(n) + f₂(n) for every number n in A. Which of the following is/are CORRECT about the mathematical structure (F, O)?",CS - Engineering Mathematics: Discrete Mathematics - Algebraic Structures
"Consider the following deterministic finite automaton (DFA) defined over the alphabet, Σ = {a, b}. Identify which of the following language(s) is/are accepted by the given DFA.
[Image of a 4-state DFA]",CS - Theory of Computation: Finite Automata - Language Accepted by DFA
"A disk of size 512M bytes is divided into blocks of 64K bytes. A file is stored in the disk using linked allocation. In linked allocation, each data block reserves 4 bytes to store the pointer to the next data block. The link part of the last data block contains a NULL pointer (also of 4 bytes). Suppose a file of 1M bytes needs to be stored in the disk. Assume, 1K = 2¹⁰ and 1M = 2²⁰. The amount of space in bytes that will be wasted due to internal fragmentation is ______. (Answer in integer)",CS - Operating Systems: File Systems - Linked Allocation and Internal Fragmentation
"Refer to the given 3-address code sequence. This code sequence is split into basic blocks. The number of basic blocks is ______. (Answer in integer)
1001: i = 1
1002: j = 1
1003: t1 = 10*i
1004: t2 = t1+j
1005: t3 = 8*t2
1006: t4 = t3-88
1007: a[t4] = 0.0
1008: j = j+1
1009: if j <= 10 goto 1003
1010: i = i+1
1011: if i <= 10 goto 1002
1012: i = 1
1013: t5 = i-1
1014: t6 = 88*t5
1015: a[t6] = 1.0
1016: i = i+1
1017: if i <= 10 goto 1013",CS - Compiler Design: Code Optimization - Basic Blocks
"Consider a binary tree T in which every node has either zero or two children. Let n > 0 be the number of nodes in T.
Which ONE of the following is the number of nodes in T that have exactly two children?",CS - Data Structures: Trees - Properties of Full Binary Trees
"Let L, M, and N be non-singular matrices of order 3 satisfying the equations L² = L⁻¹, M = L⁸ and N = L².
Which ONE of the following is the value of the determinant of (M - N)?",CS - Engineering Mathematics: Linear Algebra - Properties of Determinants
"A computer has a memory hierarchy consisting of two-level cache (L1 and L2) and a main memory. If the processor needs to access data from memory, it first looks into L1 cache. If the data is not found in L1 cache, it goes to L2 cache. If it fails to get the data from L2 cache, it goes to main memory, where the data is definitely available. Hit rates and access times of various memory units are shown in the figure. The average memory access time in nanoseconds (ns) is ______. (rounded off to two decimal places)
[Flowchart: Processor -> L1 cache (Hit rate=95%, Access time=10ns) -> L2 cache (Hit rate=85%, Access time=20ns) -> Main Memory (Access time=200ns)]",CS - Computer Organization and Architecture: Memory Hierarchy - Average Memory Access Time (AMAT)
"In optimal page replacement algorithm, information about all future page references is available to the operating system (OS). A modification of the optimal page replacement algorithm is as follows:
The OS correctly predicts only up to next 4 page references (including the current page) at the time of allocating a frame to a page.
A process accesses the pages in the following order of page numbers: 1, 3, 2, 4, 2, 3, 1, 2, 4, 3, 1, 4.
If the system has three memory frames that are initially empty, the number of page faults that will occur during execution of the process is ______. (Answer in integer)",CS - Operating Systems: Memory Management - Page Replacement Algorithms
"Consider the following database tables of a sports league.
player(pid,pname,age), coach(cid,cname), team(tid,tname,city,cid), members(pid,tid)
An instance of the table and an SQL query are given.
[Tables with sample data]
SELECT MIN(P.age) FROM player P WHERE P.pid IN (
SELECT M.pid FROM team T, coach C, members M WHERE C.cname = 'Mark' AND T.cid = C.cid AND M.tid = T.tid
)
The value returned by the given SQL query is ______. (Answer in integer)",CS - Databases: SQL - Nested Queries
Suppose a 5-bit message is transmitted from a source to a destination through a noisy channel. The probability that a bit of the message gets flipped during transmission is 0.01. Flipping of each bit is independent of one another. The probability that the message is delivered error-free to the destination is ______. (rounded off to three decimal places),CS - Engineering Mathematics: Probability - Binomial Probability
"Suppose a message of size 15000 bytes is transmitted from a source to a destination using IPv4 protocol via two routers as shown in the figure. Each router has a defined maximum transmission unit (MTU) as shown in the figure, including IP header.
The number of fragments that will be delivered to the destination is ______. (Answer in integer)
[Diagram: Source -> Router-1 (MTU=5000) -> Router-2 (MTU=3000) -> Destination]",CS - Computer Networks: Network Layer - IP Fragmentation
"Consider a probability distribution given by the density function P(x).
P(x) = { cx², for 1 ≤ x ≤ 4; 0, for x < 1 or x > 4 }
The probability that x lies between 2 and 3, i.e., P(2 ≤ x ≤ 3) is ______. (rounded off to three decimal places)",CS - Engineering Mathematics: Probability - Continuous Probability Distributions
"Consider a finite state machine (FSM) with one input X and one output f, represented by the given state transition table. The minimum number of states required to realize this FSM is ______. (Answer in integer)
[State table for FSM with 8 states A-H]",CS - Digital Logic: Sequential Circuits - State Minimization
"Consider the given sequential circuit designed using D-Flip-flops. The circuit is initialized with some value (initial state). The number of distinct states the circuit will go through before returning back to the initial state is ______. (Answer in integer)
[Image of a 4-bit shift register with inverted feedback from Q₃ to D₀]",CS - Digital Logic: Sequential Circuits - State Diagram Analysis (Johnson Counter)
"The value printed by the given C program is ______. (Answer in integer)
#include <stdio.h>
int foo(int S[],int size) {
  if(size == 0) return 0;
  if(size == 1) return 1;
  if(S[0] != S[1]) return 1+foo(S+1,size-1);
  return foo(S+1,size-1);
}
int main(){
  int A[]={0,1,2,2,2,0,0,1,1};
  printf(""%d"",foo(A,9));
  return 0;
}",CS - Programming and Data Structures: Programming in C - Recursion and Array Processing
"Let LIST be a datatype for an implementation of linked list defined as follows:
typedef struct list { int data; struct list *next; } LIST;
Suppose a program has created two linked lists, L1 and L2, whose contents are given in the figure below... L1 contains 9 nodes, and L2 contains 7 nodes.
Consider the following C program segment that modifies the list L1. The number of nodes that will be there in L1 after the execution of the code segment is ______. (Answer in integer)
[Image of L1 and L2 and C code to remove elements from L1 if they exist in L2]",CS - Programming and Data Structures: Linked Lists - List Manipulation
"Consider the following C program:
#include <stdio.h>
int gate (int n) {
  int d, t, newnum, turn;
  newnum = turn = 0; t=1;
  while (n>=t) t *= 10;
  t /=10;
  while (t>0) {
    d = n/t;
    n = n%t;
    t /= 10;
    if (turn) newnum = 10*newnum + d;
    turn = (turn + 1) %2;
  }
  return newnum;
}
int main () {
  printf (""%d"", gate(14362));
  return 0;
}
The value printed by the given C program is ______. (Answer in integer)",CS - Programming and Data Structures: Programming in C - Algorithm Analysis and Number Manipulation
"The maximum value of x such that the edge between the nodes B and C is included in every minimum spanning tree of the given graph is ______. (answer in integer)
[Image of a weighted graph with 4 nodes A,B,C,D and edge weights]",CS - Algorithms: Graph Algorithms - Minimum Spanning Tree (Cut Property)
"In a double hashing scheme, h₁(k) = k mod 11 and h₂(k) = 1 + (k mod 7) are the auxiliary hash functions. The size m of the hash table is 11. The hash function for the i-th probe in the open address table is [h₁(k) + i h₂(k)] mod m. The following keys are inserted in the given order: 63, 50, 25, 79, 67, 24.
The slot at which key 24 gets stored is ______. (Answer in integer)",CS - Data Structures: Hashing - Double Hashing
"If '→' denotes increasing order of intensity, then the meaning of the words [walk → jog → sprint] is analogous to [bothered → ________ → daunted].
Which one of the given options is appropriate to fill the blank?",GA - Verbal Ability: Analogy - Word Intensity
"Bird : Nest :: Bee : ________
Select the correct option to complete the analogy.",GA - Verbal Ability: Analogy - Living Places
"If Peˣ = Qe⁻ˣ for all real values of x, which one of the following statements is true?",GA - Quantitative Aptitude: Algebra - Exponential Functions
"The paper as shown in the figure is folded to make a cube where each square corresponds to a particular face of the cube. Which one of the following options correctly represents the cube?
Note: The figures shown are representative.
[Image of a net of a cube and four options showing folded cubes]",GA - Spatial Aptitude: Cubes and Dice - Paper Folding
Let p₁ and p₂ denote two arbitrary prime numbers. Which one of the following statements is correct for all values of p₁ and p₂?,GA - Quantitative Aptitude: Number Theory - Properties of Prime Numbers
"Based only on the conversation below, identify the logically correct inference:
“Even if I had known that you were in the hospital, I would not have gone there to see you”, Ramya told Josephine.",GA - Verbal Ability: Logical Inference - Counterfactual Conditionals
"If IMAGE and FIELD are coded as FHBNJ and EMFJG respectively then, which one among the given options is the most appropriate code for BEACH ?",GA - Analytical Aptitude: Coding-Decoding - Letter Coding
"Which one of the following options is correct for the given data in the table?
[Table with columns: Iteration(i), Input(I), Output(X), Output(Y) for i=0,1,2,3]",GA - Analytical Aptitude: Data Interpretation - Pattern Recognition in Tables
"In the given figure, PQRS is a square of side 2 cm and PLMN is a rectangle. The corner L of the rectangle is on the side QR. Side MN of the rectangle passes through the corner S of the square.
What is the area (in cm²) of the rectangle PLMN?
Note: The figure shown is representative.",GA - Quantitative Aptitude: Geometry - Area of Rectangles
"Consider the following statements:
(i) Address Resolution Protocol (ARP) provides a mapping from an IP address to the corresponding hardware (link-layer) address.
(ii) A single TCP segment from a sender S to a receiver R cannot carry both data from S to R and acknowledgement for a segment from R to S.
Which ONE of the following is CORRECT?",CS - Computer Networks: Network Protocols - ARP and TCP
"Consider the routing protocols given in List I and the names given in List II:
List I
(i) Distance vector routing
(ii) Link state routing
List II
(a) Bellman-Ford
(b) Dijkstra
For matching of items in List I with those in List II, which ONE of the following options is CORRECT?",CS - Computer Networks: Routing Algorithms - Distance Vector vs Link State
"A machine receives an IPv4 datagram. The protocol field of the IPv4 header has the protocol number of a protocol X.
Which ONE of the following is NOT a possible candidate for X?",CS - Computer Networks: Network Layer - IP Protocol Field
"Consider the following C program:
#include <stdio.h>
void stringcopy(char *, char *);
int main(){
  char a[30] = ""@#Hello World!"";
  stringcopy(a, a + 2);
  printf(""%s\n"", a);
  return 0;
}
void stringcopy(char *s, char *t) {
  while(*t)
    *s++ = *t++;
}
Which ONE of the following will be the output of the program?",CS - Programming and Data Structures: Programming in C - Pointers and Strings
"Consider an unordered list of N distinct integers.
What is the minimum number of element comparisons required to find an integer in the list that is NOT the largest in the list?",CS - Algorithms: Algorithm Analysis - Lower Bounds
"Consider the following statements about the use of backpatching in a compiler for intermediate code generation:
(I) Backpatching can be used to generate code for Boolean expression in one pass.
(II) Backpatching can be used to generate code for flow-of-control statements in one pass.
Which ONE of the following options is CORRECT?",CS - Compiler Design: Intermediate Code Generation - Backpatching
"Given the following syntax directed translation rules:
Rule 1: R → AB {B.i = R.i - 1; A.i = B.i; R.i = A.i + 1;}
Rule 2: P → CD {P.i = C.i + D.i; D.i = C.i + 2;}
Rule 3: Q → EF {Q.i = E.i + F.i;}
Which ONE is the CORRECT option among the following?",CS - Compiler Design: Syntax Directed Translation - S-Attributed and L-Attributed Definitions
"Consider a network that uses Ethernet and IPv4. Assume that IPv4 headers do not use any options field. Each Ethernet frame can carry a maximum of 1500 bytes in its data field. A UDP segment is transmitted. The payload (data) in the UDP segment is 7488 bytes.
Which ONE of the following choices has the CORRECT total number of fragments transmitted and the size of the last fragment including IPv4 header?",CS - Computer Networks: Network Layer - IP Fragmentation
Which ONE of the following languages is accepted by a deterministic pushdown automaton?,CS - Theory of Computation: Pushdown Automata - Deterministic Pushdown Automata
"Let G₁, G₂ be Context Free Grammars (CFGs) and R be a regular expression. For a grammar G, let L(G) denote the language generated by G.
Which ONE among the following questions is decidable?",CS - Theory of Computation: Decidability - Decidable Problems for CFLs
"Processes P1, P2, P3, P4 arrive in that order at times 0, 1, 2, and 8 milliseconds respectively, and have execution times of 10, 13, 6, and 9 milliseconds respectively. Shortest Remaining Time First (SRTF) algorithm is used as the CPU scheduling policy. Ignore context switching times.
Which ONE of the following correctly gives the average turnaround time of the four processes in milliseconds?",CS - Operating Systems: CPU Scheduling - SRTF Algorithm
"An audit of a banking transactions system has found that on an earlier occasion, two joint holders of account A attempted simultaneous transfers of Rs. 10000 each from account A to account B. Both transactions read the same value, Rs. 11000, as the initial balance in A and were allowed to go through. B was credited Rs. 10000 twice. A was debited only once and ended up with a balance of Rs. 1000.
Which of the following properties is/are certain to have been violated by the system?",CS - Databases: Transaction Management - ACID Properties
Which of the following is/are part of an Instruction Set Architecture of a processor?,CS - Computer Organization and Architecture: Instruction Set Architecture - Components of ISA
Which of the following statements regarding Breadth First Search (BFS) and Depth First Search (DFS) on an undirected simple graph G is/are TRUE?,CS - Algorithms: Graph Algorithms - Properties of BFS and DFS
"Consider the two lists List I and List II given below:
List I
(i) Context free languages
(ii) Recursive languages
(iii) Regular languages
List II
(a) Closed under union
(b) Not closed under complementation
(c) Closed under intersection
For matching of items in List I with those in List II, which of the following option(s) is/are CORRECT?",CS - Theory of Computation: Formal Languages - Closure Properties
"Consider the following logic circuit diagram.
[Image of a logic circuit with inputs X, Y and output F]
Which is/are the CORRECT option(s) for the output function F?",CS - Digital Logic: Combinational Circuits - Boolean Function Simplification
"The following two signed 2's complement numbers (multiplicand M and multiplier Q) are being multiplied using Booth's algorithm:
M: 1100 1101 1110 1101 and Q: 1010 0100 1010 1010
The total number of addition and subtraction operations to be performed is ______. (Answer in integer)",CS - Computer Organization and Architecture: Computer Arithmetic - Booth's Algorithm
"int x=126, y=105;
do {
  if(x>y) x=x-y;
  else y=y-x;
} while(x!=y);
printf(""%d"",x);
The output of the given C code segment is ______. (Answer in integer)",CS - Algorithms: Number Theory Algorithms - Euclidean Algorithm (GCD)
"In a 4-bit ripple counter, if the period of the waveform at the last flip-flop is 64 microseconds, then the frequency of the ripple counter in kHz is ______. (Answer in integer)",CS - Digital Logic: Sequential Circuits - Counters
"Suppose the values 10, -4, 15, 30, 20, 5, 60, 19 are inserted in that order into an initially empty binary search tree. Let T be the resulting binary search tree. The number of edges in the path from the node containing 19 to the root node of T is ______. (Answer in integer)",CS - Data Structures: Trees - Binary Search Tree Insertion
"Suppose we are transmitting frames between two nodes using Stop-and-Wait protocol. The frame size is 3000 bits. The transmission rate of the channel is 2000 bps (bits/second) and the propagation delay between the two nodes is 100 milliseconds. Assume that the processing times at the source and destination are negligible. Also, assume that the size of the acknowledgement packet is negligible. Which ONE of the following most accurately gives the channel utilization for the above scenario in percentage?",CS - Computer Networks: Data Link Layer - Stop-and-Wait Protocol Utilization
Let G be an edge-weighted undirected graph with positive edge weights. Suppose a positive constant α is added to the weight of every edge. Which ONE of the following statements is TRUE about the minimum spanning trees (MSTs) and shortest paths (SPs) in G before and after the edge weight update?,CS - Algorithms: Graph Algorithms - MST and Shortest Path Properties
"A meld operation on two instances of a data structure combines them into one single instance of the same data structure. Consider the following data structures:
P: Unsorted doubly linked list with pointers to the head node and tail node of the list.
Q: Min-heap implemented using an array.
R: Binary Search Tree.
Which ONE of the following options gives the worst-case time complexities for meld operation on instances of size n of these data structures?",CS - Data Structures: Advanced Data Structures - Meld Operation Complexity
"For a direct-mapped cache, 4 bits are used for the tag field and 12 bits are used to index into a cache block. The size of each cache block is one byte. Assume that there is no other information stored for each cache block.
Which ONE of the following is the CORRECT option for the sizes of the main memory and the cache memory in this system (byte addressable), respectively?",CS - Computer Organization and Architecture: Memory Hierarchy - Direct Mapped Cache
"Given a Context-Free Grammar G as follows:
S → Aa | bAc | dc | bda
A → d
Which ONE of the following statements is TRUE?",CS - Compiler Design: Syntax Analysis - Parser Classification
"An array A of length n with distinct elements is said to be bitonic if there is an index 1 ≤ i ≤ n such that A[1..i] is sorted in the non-decreasing order and A[i+1..n] is sorted in the non-increasing order.
Which ONE of the following represents the best possible asymptotic bound for the worst-case number of comparisons by an algorithm that searches for an element in a bitonic array A?",CS - Algorithms: Searching Algorithms - Search in a Bitonic Array
"Let F be the set of all functions from {1, ..., n} to {0, 1}. Define the binary relation ≤ on F as follows:
∀f, g ∈ F, f ≤ g if and only if ∀x ∈ {1, ..., n}, f(x) ≤ g(x), where 0 ≤ 1.
Which of the following statement(s) is/are TRUE?",CS - Engineering Mathematics: Discrete Mathematics - Partially Ordered Sets and Lattices
"Given the following Karnaugh Map for a Boolean function F(w, x, y, z):
[4x4 K-map with values]
Which one or more of the following Boolean expression(s) represent(s) F?",CS - Digital Logic: Boolean Algebra - K-Map Simplification
"Consider a system of linear equations PX = Q where P ∈ R³ˣ³ and Q ∈ R³ˣ¹.
Suppose P has an LU decomposition, P = LU, where
L = [[1,0,0], [l₂₁,1,0], [l₃₁,l₃₂,1]] and U = [[u₁₁,u₁₂,u₁₃], [0,u₂₂,u₂₃], [0,0,u₃₃]]
Which of the following statement(s) is/are TRUE?",CS - Engineering Mathematics: Linear Algebra - LU Decomposition
"Consider a stack data structure into which we can PUSH and POP records. Assume that each record pushed in the stack has a positive integer key and that all keys are distinct.
We wish to augment the stack data structure with an O(1) time MIN operation that returns a pointer to the record with smallest key present in the stack
1) without deleting the corresponding record, and
2) without increasing the complexities of the standard stack operations.
Which one or more of the following approach(es) can achieve it?",CS - Data Structures: Stacks - Min Stack Problem
"Consider the following relational schema along with all the functional dependencies that hold on them.
R1(A, B, C, D, E): {D → E, EA → B, EB → C}
R2(A, B, C, D): {A → D, A → B, C → A}
Which of the following statement(s) is/are TRUE?",CS - Databases: Relational Database Design - Third Normal Form (3NF)
"Consider a demand paging system with three frames, and the following page reference string: 1 2 3 4 5 4 1 6 4 5 1 3 2. The contents of the frames are as follows initially and after each reference (from left to right):
[Table showing frame contents after each page reference]
The *-marked references cause page replacements.
Which one or more of the following could be the page replacement policy/policies in use?",CS - Operating Systems: Memory Management - Page Replacement Algorithms
"P = {P₁, P₂, P₃, P₄} consists of all active processes in an operating system.
R = {R₁, R₂, R₃, R₄} consists of single instances of distinct types of resources in the system.
The resource allocation graph has the following assignment and claim edges.
Assignment edges: R₁→P₁, R₂→P₂, R₃→P₃, R₄→P₄
Claim edges: P₁→R₂, P₂→R₃, P₃→R₁, P₂→R₄, P₄→R₂
Which of the following statement(s) is/are CORRECT?",CS - Operating Systems: Deadlocks - Resource Allocation Graph
"Three floating point numbers X, Y, and Z are stored in three registers Rx, Ry, and Rz, respectively in IEEE 754 single precision format as given below in hexadecimal:
Rx = 0xC1100000, Ry = 0x40C00000, and Rz = 0x41400000
Which of the following option(s) is/are CORRECT?",CS - Computer Organization and Architecture: Data Representation - IEEE 754 Floating-Point Arithmetic
Which of the following Boolean algebraic equation(s) is/are CORRECT?,CS - Digital Logic: Boolean Algebra - Boolean Identities and Simplification
"Consider two grammars G₁ and G₂ with the production rules given below:
G₁: S → if E then S | if E then S else S | a
     E → b
G₂: S → if E then S | M
     M → if E then M else S | c
     E → b
where if, then, else, a, b, c are the terminals.
Which of the following option(s) is/are CORRECT?",CS - Compiler Design: Syntax Analysis - Ambiguity and LL(1) Grammars
"Let Σ = {a, b, c}. For x ∈ Σ*, and α ∈ Σ, let #α(x) denote the number of occurrences of α in x.
Which one or more of the following option(s) define(s) regular language(s)?",CS - Theory of Computation: Regular Languages - Properties of Regular Languages
"Consider the database transactions T1 and T2, and data items X and Y. Which of the schedule(s) is/are conflict serializable?
Transaction T1: R1(X), W1(Y), R1(X), W1(X), COMMIT(T1)
Transaction T2: W2(X), W2(Y), COMMIT(T2)",CS - Databases: Transaction Management - Conflict Serializability
"Consider the following relational schema:
Students (rollno: integer, name: string, age: integer, cgpa: real)
Courses (courseno: integer, cname: string, credits: integer)
Enrolled (rollno: integer, courseno: integer, grade: string)
Which of the following options is/are correct SQL query/queries to retrieve the names of the students enrolled in course number (i.e., courseno) 1470?",CS - Databases: SQL - Correlated Subqueries and Joins
"Given a computing system with two levels of cache (L1 and L2) and a main memory. The first level (L1) cache access time is 1 nanosecond (ns) and the “hit rate” for L1 cache is 90% while the processor is accessing the data from L1 cache. Whereas, for the second level (L2) cache, the “hit rate” is 80% and the “miss penalty” for transferring data from L2 cache to L1 cache is 10 ns. The “miss penalty” for the data to be transferred from main memory to L2 cache is 100 ns.
Then the average memory access time in this system in nanoseconds is ______. (rounded off to one decimal place)",CS - Computer Organization and Architecture: Memory Hierarchy - Average Memory Access Time (AMAT)
"A 5-stage instruction pipeline has stage delays of 180, 250, 150, 170, and 250, respectively, in nanoseconds. The delay of an inter-stage latch is 10 nanoseconds. Assume that there are no pipeline stalls due to branches and other hazards. The time taken to process 1000 instructions in microseconds is ______. (rounded off to two decimal places)",CS - Computer Organization and Architecture: Pipelining - Pipeline Performance
"In a B⁺- tree where each node can hold at most four key values, a root to leaf path consists of the following nodes:
A = (49, 77, 83, -), B = (7, 19, 33, 44), C = (20*, 22*, 25*, 26*)
The *-marked keys signify that these are data entries in a leaf.
Assume that a pointer between keys k₁ and k₂ points to a subtree containing keys in [k₁, k₂), and that when a leaf is created, the smallest key in it is copied up into its parent.
A record with key value 23 is inserted into the B⁺- tree.
The smallest key value in the parent of the leaf that contains 25* is ______. (Answer in integer)",CS - Databases: File Structures - B+ Tree Insertion
"A computer system supports a logical address space of 2³² bytes. It uses two-level hierarchical paging with a page size of 4096 bytes. A logical address is divided into a b-bit index to the outer page table, an offset within the page of the inner page table, and an offset within the desired page. Each entry of the inner page table uses eight bytes. All the pages in the system have the same size.
The value of b is ______. (Answer in integer)",CS - Operating Systems: Memory Management - Multi-level Paging
"Consider the following algorithm someAlgo that takes an undirected graph G as input.
someAlgo (G)
1. Let v be any vertex in G. Run BFS on G starting at v. Let u be a vertex in G at maximum distance from v as given by the BFS.
2. Run BFS on G again with u as the starting vertex. Let z be the vertex at maximum distance from u as given by the BFS.
3. Output the distance between u and z in G.
The output of someAlgo(T) for the tree shown in the given figure is ______. (Answer in integer)
[Image of a tree]",CS - Algorithms: Graph Algorithms - Diameter of a Tree
"Out of all the 2-digit integers between 1 and 100, a 2-digit number has to be selected at random. What is the probability that the selected number is not divisible by 7?",General Aptitude: Quantitative Aptitude - Probability
